,GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
503,OM455467,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/059-1/2012_pro,Unknown
504,OM455466,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/008-3/2012_pro,Unknown
505,OM455465,PAK,buffalo,2012,Unknown,Unknown,A/PAK/ICT/7-3/2012_pro,Unknown
506,OM471680,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/SGD/179/2012,Unknown
507,OM471679,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/SGD/170/2012,Unknown
508,OM471678,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/SGD/171/2012,Unknown
509,OM471677,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/SGD/167/2012,Unknown
510,OM471676,PAK,cattle,2011,Unknown,Unknown,Asia1/PAK/SGD/25/2011,Unknown
511,OM471675,PAK,cattle,2011,Unknown,Unknown,Asia1/PAK/SGD/23/2011,Unknown
512,OM471674,PAK,cattle,2011,Unknown,Unknown,Asia1/PAK/SGD/22/2011,Unknown
513,OM471673,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/RYK/287/2012,Unknown
514,OM471672,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/RYK/283/2012,Unknown
515,OM471671,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/RYK/280/2012,Unknown
516,OM471670,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/RWP/227/2012,Unknown
517,OM471669,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/MRD/66/2012,Unknown
518,OM471668,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/KHT/9/2012,Unknown
519,OM471667,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/39/2011,Unknown
520,OM471666,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/38/2011,Unknown
521,OM471665,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/34/2011,Unknown
522,OM471664,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/KCH/32/2011,Unknown
523,OM471663,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/KCH/17/2012,Unknown
524,OM471662,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/KCH/16/2012,Unknown
525,OM471661,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/JHG/5/2012,Unknown
526,OM471660,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/271/2012,Unknown
527,OM471659,PAK,cattle,2012,Unknown,Unknown,Asia1/PAK/FSD/85/2012,Unknown
528,OM471658,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/283-4/2012_pro,Unknown
529,OM471657,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/284-3/2012_pro,Unknown
530,OM471656,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/284-1/2012_pro,Unknown
531,OM471655,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/277-4/2012_pro,Unknown
532,OM471654,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/277-1/2012_pro,Unknown
533,OM471653,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/273-4/2012_pro,Unknown
534,OM471652,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/272-4/2012_pro,Unknown
535,OM471651,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/263-4/2012_pro,Unknown
536,OM471650,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/263-1/2012_pro,Unknown
537,OM471649,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/256-4/2012_pro,Unknown
538,OM471648,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/254-4/2012_pro,Unknown
539,OM471647,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/254-1/2012_pro,Unknown
540,OM471646,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/237-4/2012_pro,Unknown
541,OM471645,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/233-4/2012_pro,Unknown
542,OM471644,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/231-4/2012_pro,Unknown
543,OM471643,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/230-4/2012_pro,Unknown
544,OM471642,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/229-4/2012_pro,Unknown
545,OM471641,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/222-4/2012_pro,Unknown
546,OM471640,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/221-4/2012_pro,Unknown
547,OM471639,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/220-4/2012_pro,Unknown
548,OM471638,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/209-4/2012_pro,Unknown
549,OM471637,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/208-4/2012_pro,Unknown
550,OM471636,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/192-4/2012_pro,Unknown
551,OM471635,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/192-3/2012_pro,Unknown
552,OM471634,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/192-2/2012_pro,Unknown
553,OM471633,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/189-4/2012_pro,Unknown
554,OM471632,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/189-3/2012_pro,Unknown
555,OM471631,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/189-2/2012_pro,Unknown
556,OM471630,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/187-4/2012_pro,Unknown
557,OM471629,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/185-3/2012_pro,Unknown
558,OM471628,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/185-1/2012_pro,Unknown
559,OM471627,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/184-3/2012_pro,Unknown
560,OM471626,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/184-2/2012_pro,Unknown
561,OM471625,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/184-1/2012_pro,Unknown
562,OM471624,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/183-2/2012_pro,Unknown
563,OM471623,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/183-1/2012_pro,Unknown
564,OM471622,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/181-1/2012_pro,Unknown
565,OM471621,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/180-1/2012_pro,Unknown
566,OM471620,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/178-3/2012_pro,Unknown
567,OM471619,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/178-2/2012_pro,Unknown
568,OM471618,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/177-1/2012_pro,Unknown
569,OM471617,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/168-1/2012_pro,Unknown
570,OM471616,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/167-1/2012_pro,Unknown
571,OM471615,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/147-4/2012_pro,Unknown
572,OM471614,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/144-2/2012_pro,Unknown
573,OM471613,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/137-1/2012_pro,Unknown
574,OM471612,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/115-1/2012_pro,Unknown
575,OM471611,PAK,buffalo,2012,Unknown,Unknown,Asia1/PAK/ICT/059-2/2012_pro,Unknown
576,OM471610,PAK,buffalo,2011,Unknown,Unknown,Asia1/PAK/ICT/008-1/2011_pro,Unknown
577,OM022649,NER,cattle,2017,O,Unknown,O/NIG/PL/IDH/3/2017,epithelial tissue
578,OM022648,NER,cattle,2017,O,Unknown,O/NIG/PL/IDF/1/2017,epithelial tissue
579,OM022647,NER,cattle,2017,O,Unknown,O/NIG/PL/BLD/03B/2017,epithelial tissue
580,OM022646,NER,cattle,2017,O,Unknown,O/NIG/PL/BLD/03A/2017,epithelial tissue
581,OM022645,NER,cattle,2017,O,Unknown,O/NIG/PL/BLD/02B/2017,epithelial tissue
582,OM022644,NER,cattle,2017,O,Unknown,O/NIG/PL/BLD/02A/2017,epithelial tissue
583,OM022643,NER,cattle,2017,O,Unknown,O/NIG/PL/JS/KA/2/2017,epithelial tissue
584,OM022642,NER,cattle,2018,O,Unknown,O/NIG/PL/NV/2018,epithelial tissue
585,OK019689,IRN,cow,2016,O,Unknown,O2016,Unknown
586,MG334583,IRQ,cow,2009,A,Iraq 09,Unknown,Unknown
587,MT495500,Unknown,cow,Unknown,O,Unknown,O/BR19-16_46dpi_OPF,oropharyngeal fluid
588,MT495499,Unknown,cow,Unknown,O,Unknown,O/BR19-16_46dpi_DSP,"postmortem tissue, dorsal soft palate"
589,MT495498,Unknown,cow,Unknown,O,Unknown,O/BR19-16_46dpi_DNP,"postmortem tissue, dorsal nasopharynx"
590,MT495497,Unknown,cow,Unknown,O,Unknown,O/BR19-16_35dpi_OPF,oropharyngeal fluid
591,MT495496,Unknown,cow,Unknown,O,Unknown,O/BR19-15_46dpi_OPF,oropharyngeal fluid
592,MT495495,Unknown,cow,Unknown,O,Unknown,O/BR19-15_46dpi_DSP,"postmortem tissue, dorsal soft palate"
593,MT495494,Unknown,cow,Unknown,O,Unknown,O/BR19-15_46dpi_DNP,"postmortem tissue, dorsal nasopharynx"
594,MT495493,Unknown,cow,Unknown,O,Unknown,O/BR19-15_38dpi_OPF,oropharyngeal fluid
595,MT495492,Unknown,cow,Unknown,O,Unknown,O/BR19-15_35dpi_OPF,oropharyngeal fluid
596,MT495491,Unknown,cow,Unknown,O,Unknown,O/BR19-13_49dpi_DSP,"postmortem tissue, dorsal soft palate"
597,MT495490,Unknown,cow,Unknown,O,Unknown,O/BR19-13_49dpi_DNP,"postmortem tissue, dorsal nasopharynx"
598,MT495489,Unknown,cow,Unknown,O,Unknown,O/BR19-13_45dpi_OPF,oropharyngeal fluid
599,MT495488,Unknown,cow,Unknown,O,Unknown,O/BR19-13_43dpi_OPF,oropharyngeal fluid
600,MT495487,Unknown,cow,Unknown,O,Unknown,O/BR19-13_38dpi_OPF,oropharyngeal fluid
601,MT495486,Unknown,cow,Unknown,O,Unknown,O/BR19-13_35dpi_OPF,oropharyngeal fluid
602,MT495485,Unknown,cow,Unknown,O,Unknown,O/BR19-12_23dpi_DSP,"postmortem tissue, dorsal soft palate"
603,MT495484,Unknown,cow,Unknown,O,Unknown,O/BR19-12_23dpi_DNP,"postmortem tissue, dorsal nasopharynx"
604,MT495483,Unknown,cow,Unknown,O,Unknown,O/BR19-11_23dpi_DSP,"postmortem tissue, dorsal soft palate"
605,MT495482,Unknown,cow,Unknown,O,Unknown,O/BR19-11_23dpi_DNP,"postmortem tissue, dorsal nasopharynx"
606,MT495481,Unknown,cow,Unknown,O,Unknown,O/BR19-10_22dpi_DSP,"postmortem tissue, dorsal soft palate"
607,MT495480,Unknown,cow,Unknown,O,Unknown,O/BR19-09_22dpi_DSP,"postmortem tissue, dorsal soft palate"
608,MT495479,Unknown,cow,Unknown,O,Unknown,O/BR19-09_22dpi_DNP,"postmortem tissue, dorsal nasopharynx"
609,MT495478,Unknown,cow,Unknown,O,Unknown,O/BR19-14_38dpi_OPF_O-A-Chimera,oropharyngeal fluid
610,MT495477,Unknown,cow,Unknown,O,Unknown,O/BR19-14_35dpi_OPF_O-A-Chimera,oropharyngeal fluid
611,MT495476,Unknown,cow,Unknown,A,Unknown,A/BR19-16_08dpi_CB-RF,"vesicle on coronary band, right front foot"
612,MT495475,Unknown,cow,Unknown,A,Unknown,A/BR19-16_05dpi_TNG,vesicle on tongue
613,MT495474,Unknown,cow,Unknown,A,Unknown,A/BR19-15_08dpi_serum,serum
614,MT495473,Unknown,cow,Unknown,A,Unknown,A/BR19-15_08dpi_CB-RH,"vesicle on coronary band, right hind foot"
615,MT495472,Unknown,cow,Unknown,A,Unknown,A/BR19-15_04dpi_TNG,vesicle on tongue
616,MT495471,Unknown,cow,Unknown,A,Unknown,A/BR19-14_45dpi_OPF,vesicle on tongue
617,MT495470,Unknown,cow,Unknown,A,Unknown,A/BR19-14_04dpi_TNG,oropharyngeal fluid
618,MT495469,Unknown,cow,Unknown,A,Unknown,A/BR19-12_08dpi_CB-LH,"vesicle on coronary band, left hind foot"
619,MT495468,Unknown,cow,Unknown,A,Unknown,A/BR19-11_05dpi_TNG,vesicle on tongue
620,MT495467,Unknown,cow,Unknown,A,Unknown,A/BR19-11_05dpi_IDC-RH,"vesicle on interdigital cleft, right hind foot"
621,MT495466,Unknown,cow,Unknown,A,Unknown,A/BR19-10_04dpi_IDC-LF,"vesicle on interdigital cleft, left front foot"
622,MT495465,Unknown,cow,Unknown,A,Unknown,A/BR19-10_03dpi_TNG,vesicle on tongue
623,MT495464,Unknown,cow,Unknown,A,Unknown,A/BR19-09_06dpi_serum,serum
624,MT495463,Unknown,cow,Unknown,A,Unknown,A/BR19-09_05dpi_TNG,vesicle on tongue
625,MT495462,Unknown,cow,Unknown,A,Unknown,A/BR19-09_05dpi_IDC-RF,"vesicle on interdigital cleft, right front foot"
626,MT431618,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_SER,serum
627,MT431617,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_TNG,vesicle on tongue
628,MT431616,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_DP,vesicle on dental pad
629,MT431615,Unknown,cow,Unknown,O,Unknown,O/BR19-06_04dpi_SER,serum
630,MT431614,Unknown,cow,Unknown,O,Unknown,O/BR19-05_04dpi_DP,vesicle on dental pad
631,MT431613,Unknown,cow,Unknown,O,Unknown,O/BR19-08_31dpi_OPF,oropharyngeal fluid
632,MT431612,Unknown,cow,Unknown,O,Unknown,O/BR19-08_28dpi_OPF,oropharyngeal fluid
633,MT431611,Unknown,cow,Unknown,O,Unknown,O/BR19-08_17dpi_OPF,oropharyngeal fluid
634,MT431610,Unknown,cow,Unknown,O,Unknown,O/BR19-08_35dpi_DSP,"postmortem tissue, dorsal soft palate"
635,MT431609,Unknown,cow,Unknown,O,Unknown,O/BR19-08_35dpi_OPF,oropharyngeal fluid
636,MT431608,Unknown,cow,Unknown,O,Unknown,O/BR19-08_24dpi_OPF,oropharyngeal fluid
637,MT431607,Unknown,cow,Unknown,O,Unknown,O/BR19-08_21dpi_OPF,oropharyngeal fluid
638,MT431606,Unknown,cow,Unknown,O,Unknown,O/BR19-05_04dpi_CB-RH,"vesicle on coronary band, right hind foot"
639,MT431605,Unknown,cow,Unknown,O,Unknown,O/BR19-05_04dpi_SER,serum
640,MT431604,Unknown,cow,Unknown,O,Unknown,O/BR19-05_03dpi_CB-LH,"vesicle on coronary band, left hind foot"
641,MT431603,Unknown,cow,Unknown,O,Unknown,O/BR19-05_03dpi_SER,serum
642,MT431602,Unknown,cow,Unknown,O,Unknown,O/BR19-06_06dpi_IDC-LF,"vesicle on interdigital cleft, left front foot"
643,MT431601,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_CB-RF,"vesicle on coronary band, right front foot"
644,MT431600,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_CB-LH,"vesicle on coronary band, left hind foot"
645,MT431599,Unknown,cow,Unknown,O,Unknown,O/BR19-07_04dpi_CB-RH,"vesicle on coronary band, right hind foot"
646,MT431598,Unknown,cow,Unknown,O,Unknown,O/BR19-07_04dpi_CB-LF,"vesicle on coronary band, left front foot"
647,MT431597,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_CB-LF,"vesicle on coronary band, left front foot"
648,MT431596,Unknown,cow,Unknown,O,Unknown,O/BR19-05_04dpi_CB-RF,"vesicle on coronary band, right front foot"
649,MT431595,Unknown,cow,Unknown,O,Unknown,O/BR19-05_03dpi_DP,vesicle on dental pad
650,MT431594,Unknown,cow,Unknown,O,Unknown,O/BR19-05_03dpi_CB-RH,"vesicle on coronary band, right hind foot"
651,MT431593,Unknown,cow,Unknown,O,Unknown,O/BR19-05_03dpi_CB-RF,"vesicle on coronary band, right front foot"
652,MT431592,Unknown,cow,Unknown,O,Unknown,O/BR19-07_03dpi_CB-RH,"vesicle on coronary band, right hind foot"
653,MT431591,Unknown,cow,Unknown,O,Unknown,O/BR19-05_03dpi_CB-LF,"vesicle on coronary band, left front foot"
654,MW355680,ZWE,african-buffalo,1991,SAT3,Unknown,ZIM/P25/91 UR-7,probang
655,MW355679,ZWE,african-buffalo,1990,SAT3,Unknown,ZIM/P26/90 HV-5,probang
656,MW355678,ZMB,african-buffalo,1996,SAT3,Unknown,ZAM/P2/96 MUL-4,probang
657,MW355677,ZAF,cattle,1979,SAT3,Unknown,SAR/9/79,epithelium
658,MW355676,ZWE,cattle,1976,SAT3,Unknown,RHO/26/76,epithelium
659,MW355675,ZWE,cattle,1975,SAT3,Unknown,RHO/3/75,vesicular fluid
660,MW355674,BWA,cattle,1967,SAT3,Unknown,BOT/209/67,probang
661,MW355673,ZWE,cattle,1989,SAT2,Unknown,ZIM/8/89,epithelium
662,MW355672,ZMB,african-buffalo,1974,SAT2,Unknown,ZAM-BUFF/18/74,probang
663,MW355671,MOZ,Unknown,1970,SAT2,Unknown,MOZ/1/70,epithelium
664,MW355670,BWA,african-buffalo,1972,SAT2,Unknown,BOT-BUFF/7/72,probang
665,MW355669,ZMB,cattle,1988,SAT1,Unknown,ZAM/2/88,epithelium
666,MW355668,TZA,cattle,1980,SAT1,Unknown,TAN/3/80,epithelium
667,MT412377,Unknown,cow,Unknown,A,Unknown,A/BR19-07_03dpi_SER,serum
668,MT412376,Unknown,cow,Unknown,A,Unknown,A/BR19-08_17dpi_OPF,oropharyngeal fluid
669,MT412375,Unknown,cow,Unknown,A,Unknown,A/BR19-08_21dpi_OPF,oropharyngeal fluid
670,MT412374,Unknown,cow,Unknown,A,Unknown,A/BR19-05_35dpi_DSP,"postmortem tissue, dorsal soft palate"
671,MT412373,Unknown,cow,Unknown,A,Unknown,A/BR19-05_35dpi_OPF,oropharyngeal fluid
672,MT412372,Unknown,cow,Unknown,A,Unknown,A/BR19-05_14dpi_OPF,oropharyngeal fluid
673,MT412371,Unknown,cow,Unknown,A,Unknown,A/BR19-08_06dpi_CB-LH,"vesicle on coronary band, left hind foot"
674,MT412370,Unknown,cow,Unknown,A,Unknown,A/BR19-07_24dpi_OPF,oropharyngeal fluid
675,MT412369,Unknown,cow,Unknown,A,Unknown,A/BR19-05_24dpi_OPF,oropharyngeal fluid
676,MT412368,Unknown,cow,Unknown,A,Unknown,A/BR19-05_21dpi_OPF,oropharyngeal fluid
677,MT412367,Unknown,cow,Unknown,A,Unknown,A/BR19-07_03dpi_CB-LH,"vesicle on coronary band, left hind foot"
678,MT412366,Unknown,cow,Unknown,A,Unknown,A/BR19-06_17dpi_OPF,oropharyngeal fluid
679,MT412365,Unknown,cow,Unknown,A,Unknown,A/BR19-08_04dpi_TNG,vesicle on tongue
680,MT412364,Unknown,cow,Unknown,A,Unknown,A/BR19-07_21dpi_OPF,oropharyngeal fluid
681,MT412363,Unknown,cow,Unknown,A,Unknown,A/BR19-06_06dpi_IDC-LF,"vesicle on interdigital cleft, left hind foot"
682,MT412362,Unknown,cow,Unknown,A,Unknown,A/BR19-05_31dpi_OPF,oropharyngeal fluid
683,MT412361,Unknown,cow,Unknown,A,Unknown,A/BR19-07_31dpi_DNP,"postmortem tissue, dorsal nasopharynx"
684,MT412360,Unknown,cow,Unknown,A,Unknown,A/BR19-08_06dpi_IDC-RF,"vesicle on interdigital cleft, right front foot"
685,MT412359,Unknown,cow,Unknown,A,Unknown,A/BR19-06_21dpi_OPF,oropharyngeal fluid
686,MT412358,Unknown,cow,Unknown,A,Unknown,A/BR19-07_04dpi_CB-LF,"vesicle on coronary band, left front foot"
687,MT412357,Unknown,cow,Unknown,A,Unknown,A/BR19-06_04dpi_SER,serum
688,MT412356,Unknown,cow,Unknown,A,Unknown,A/BR19-06_35dpi_DNP,"postmortem tissue, dorsal nasopharynx"
689,MT412355,Unknown,cow,Unknown,A,Unknown,A/BR19-07_03dpi_DP,vesicle on dental pad
690,MT412354,Unknown,cow,Unknown,A,Unknown,A/BR19-07_31dpi_OPF,oropharyngeal fluid
691,MT412353,Unknown,cow,Unknown,A,Unknown,A/BR19-07_17dpi_OPF,oropharyngeal fluid
692,MT412352,Unknown,cow,Unknown,A,Unknown,A/BR19-07_28dpi_OPF,oropharyngeal fluid
693,MT412351,Unknown,cow,Unknown,A,Unknown,A/BR19-07_04dpi_CB-RH,"vesicle on coronary band, right hind foot"
694,MT412350,Unknown,cow,Unknown,A,Unknown,A/BR19-06_24dpi_OPF,oropharyngeal fluid
695,MT412349,Unknown,cow,Unknown,A,Unknown,A/BR19-07_14dpi_OPF,oropharyngeal fluid
696,MT412348,Unknown,cow,Unknown,A,Unknown,A/BR19-05_17dpi_OPF,oropharyngeal fluid
697,MT412347,Unknown,cow,Unknown,A,Unknown,A/BR19-07_03dpi_TNG,vesicle on tongue
698,MT412346,Unknown,cow,Unknown,A,Unknown,A/BR19-06_31dpi_OPF,oropharyngeal fluid
699,MT412345,Unknown,cow,Unknown,A,Unknown,A/BR19-06_14dpi_OPF,oropharyngeal fluid
700,MT412344,Unknown,cow,Unknown,A,Unknown,A/BR19-06_04dpi_TNG,vesicle on tongue
701,MT412343,Unknown,cow,Unknown,A,Unknown,A/BR19-05_04dpi_CB-RH,"vesicle on coronary band, right hind foot"
702,MT412342,Unknown,cow,Unknown,A,Unknown,A/BR19-06_28dpi_OPF,oropharyngeal fluid
703,MT412341,Unknown,cow,Unknown,A,Unknown,A/BR19-05_28dpi_OPF,oropharyngeal fluid
704,LC564923,THA,cow,2016,A,A/TAI/72/2016,Unknown,Unknown
705,LC564922,THA,cow,2016,A,A/TAI/56/2016,Unknown,Unknown
706,LC564921,THA,cow,2016,A,A/TAI/32-1/2016,Unknown,Unknown
707,LC564920,THA,cow,2015,A,A/TAI/137/2015,Unknown,Unknown
708,LC564919,THA,cow,2015,A,A/TAI/108/2015,Unknown,Unknown
709,LC564918,THA,cow,2015,A,A/TAI/67/2015,Unknown,Unknown
710,LC564917,THA,cow,2015,A,A/TAI/46-1/2015,Unknown,Unknown
711,LC564916,THA,cow,2014,A,A/TAI/98-1/2014,Unknown,Unknown
712,LC564915,THA,cow,2014,A,A/TAI/74/2014,Unknown,Unknown
713,LC564914,THA,cow,2014,A,A/TAI/15-1/2014,Unknown,Unknown
714,LC564913,THA,cow,2013,A,A/TAI/94/2013,Unknown,Unknown
715,LC564912,THA,cow,2013,A,A/TAI/80-3/2013,Unknown,Unknown
716,LC564911,THA,cow,2013,A,A/TAI/53/2013,Unknown,Unknown
717,LC564910,THA,cow,2012,A,A/TAI/36/2012,Unknown,Unknown
718,LC564909,THA,cow,2012,A,A/TAI/3/2012,Unknown,Unknown
719,LC564908,THA,cow,2012,A,A/TAI/1/2012,Unknown,Unknown
720,LC564907,THA,cow,2011,A,A/TAI/57-1/2011,Unknown,Unknown
721,LC564906,THA,cow,2011,A,A/TAI/53-2/2011,Unknown,Unknown
722,LC564905,THA,cow,2011,A,A/TAI/5/2011,Unknown,Unknown
723,LC564904,THA,cow,2010,A,A/TAI/73/2010,Unknown,Unknown
724,LC564903,THA,cow,2010,A,A/TAI/69-1/2010,Unknown,Unknown
725,LC564902,THA,cow,2010,A,A/TAI/67-3/2010,Unknown,Unknown
726,LC564901,THA,cow,2009,A,A/TAI/37/2009,Unknown,Unknown
727,LC564900,THA,cow,2009,A,A/TAI/25/2009,Unknown,Unknown
728,LC564899,THA,cow,2008,A,A/TAI/70/2008,Unknown,Unknown
729,LC564898,THA,cow,2008,A,A/TAI/47-2/2008,Unknown,Unknown
730,LC564897,THA,cow,2008,A,A/TAI/34/2008,Unknown,Unknown
731,LC564896,THA,cow,2007,A,A/TAI/35/2007,Unknown,Unknown
732,LC564895,THA,cow,2007,A,A/TAI/23/2007,Unknown,Unknown
733,LC564894,THA,cow,2007,A,A/TAI/4/2007,Unknown,Unknown
734,MW715629,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/WAS/03/2017,epithelial tissue
735,MW715628,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/WAS/01/2017,epithelial tissue
736,MW715627,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/PKN/02/2017,epithelial tissue
737,MW715626,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/PKN/01/2017,epithelial tissue
738,MW715625,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/LANG/02/2017,epithelial tissue
739,MW715624,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/KWK/02/2017,epithelial tissue
740,MW715623,NER,cow,2017,Unknown,Unknown,SAT2/NIG/PL/JS/KA/1/2017,epithelial tissue
741,MW715622,NER,cow,2018,Unknown,Unknown,SAT2/NIG/BAU/TR/1/2018,epithelial tissue
742,KY444649,THA,pig,2016,O,Unknown,G75_PC_B/0416/Ratchaburi/Thailand/2016,Unknown
743,KY444648,THA,pig,2016,O,Unknown,G75_PC_A/0416/Ratchaburi/Thailand/2016,Unknown
744,KY444647,THA,pig,2016,O,Unknown,G12_1_SJSP_0416/Ratchaburi/Thailand/2016,Unknown
745,KY444646,THA,pig,2016,O,Unknown,G12_SJSP_0416/Ratchaburi/Thailand/2016,Unknown
746,KY444645,THA,pig,2016,O,Unknown,G60_CM_A_0116/ChiangMai/Thailand/2016,Unknown
747,KY444644,THA,pig,2013,O,Unknown,G1_JP_0113/Ratchaburi/Thailand/2013,Unknown
748,MT944983,IRN,goat,2016,O,Unknown,O/IRN/16/2016,BTy1 (first passage on bovine thyroid cells)
749,MT944982,IRN,goat,2016,O,Unknown,O/IRN/16/2016,heart
750,MT944981,IRN,dog,2016,O,Unknown,O/IRN/9/2016,BTy1 (first passage on bovine thyroid cells)
751,MT944980,IRN,dog,2016,O,Unknown,O/IRN/9/2016,heart
752,LC595604,Unknown,Unknown,Unknown,O,O/HKN/1/2015,Unknown,Unknown
753,MN442540,ZAF,african-buffalo,1991,Unknown,Unknown,SAT1-KNP/196/91-Recombinant,KNP/196/91 passage PK = 1 / RS = 4 / Bovine = 1 / BHK = 4 / recBHK5
754,MN442539,ZAF,african-buffalo,1991,Unknown,Unknown,SAT1-KNP/196/91-Pig,KNP/196/91 passage PK = 1 / IB-RS = 4 / Bovine = 1 / BHK = 4 / Pig = 3
755,MN442538,ZAF,african-buffalo,1991,Unknown,Unknown,SAT1-KNP/196/91-Parental,KNP/196/91 passage PK = 1 / IB-RS = 4 / Bovine = 1 / BHK = 5
756,MT602092,KEN,cattle,2017,SAT2,Unknown,KEN/19/2017,epithelium
757,MT602091,ETH,cattle,2018,SAT2,Unknown,ETH/11/2018,epithelium
758,MT602090,ETH,cattle,2015,SAT2,Unknown,ETH/16/2015,vesicular fluid
759,MT602089,EGY,cattle,2018,SAT2,Unknown,EGY/1/2018,epithelium
760,MT602088,TZA,cattle,2014,SAT1,Unknown,TAN/22/2014,epithelium
761,MT602087,TZA,cattle,2013,SAT1,Unknown,TAN/22/2013,epithelium
