Genbank accession;Year;Country;Host;Isolate;Strain;Serotype;Topotype;Lineage;
LC564918;2015;THA;cow;;A/TAI/67/2015;A;ASIA;Sea-97;
LC564917;2015;THA;cow;;A/TAI/46-1/2015;A;ASIA;Sea-97;
LC564916;2014;THA;cow;;A/TAI/98-1/2014;A;ASIA;Sea-97;
LC564915;2014;THA;cow;;A/TAI/74/2014;A;ASIA;Sea-97;
LC564914;2014;THA;cow;;A/TAI/15-1/2014;A;ASIA;Sea-97;
LC564912;2013;THA;cow;;A/TAI/80-3/2013;A;ASIA;Sea-97;
LC564911;2013;THA;cow;;A/TAI/53/2013;A;ASIA;Sea-97;
LC564909;2012;THA;cow;;A/TAI/3/2012;A;ASIA;Sea-97;
LC564907;2011;THA;cow;;A/TAI/57-1/2011;A;ASIA;Sea-97;
LC564906;2011;THA;cow;;A/TAI/53-2/2011;A;ASIA;Sea-97;
LC564905;2011;THA;cow;;A/TAI/5/2011;A;ASIA;Sea-97;
LC564904;2010;THA;cow;;A/TAI/73/2010;A;ASIA;Sea-97;
LC564903;2010;THA;cow;;A/TAI/69-1/2010;A;ASIA;Sea-97;
LC564902;2010;THA;cow;;A/TAI/67-3/2010;A;ASIA;Sea-97;
LC564901;2009;THA;cow;;A/TAI/37/2009;A;ASIA;Sea-97;
LC564900;2009;THA;cow;;A/TAI/25/2009;A;ASIA;Sea-97;
LC564898;2008;THA;cow;;A/TAI/47-2/2008;A;ASIA;Sea-97;
LC564896;2007;THA;cow;;A/TAI/35/2007;A;ASIA;Sea-97;
LC564895;2007;THA;cow;;A/TAI/23/2007;A;ASIA;Sea-97;
LC564894;2007;THA;cow;;A/TAI/4/2007;A;ASIA;Sea-97;
MW715629;2017;NER;cow;SAT2/NIG/PL/WAS/03/2017;;SAT2;VII;;
MW715628;2017;NER;cow;SAT2/NIG/PL/WAS/01/2017;;SAT2;VII;;
MW715627;2017;NER;cow;SAT2/NIG/PL/PKN/02/2017;;SAT2;VII;;
MW715626;2017;NER;cow;SAT2/NIG/PL/PKN/01/2017;;SAT2;VII;;
MW715624;2017;NER;cow;SAT2/NIG/PL/KWK/02/2017;;SAT2;VII;;
MW715623;2017;NER;cow;SAT2/NIG/PL/JS/KA/1/2017;;SAT2;VII;;
MW715622;2018;NER;cow;SAT2/NIG/BAU/TR/1/2018;;SAT2;VII;;
KY444649;2016;THA;pig;G75_PC_B/0416/Ratchaburi/Thailand/2016;;O;SOUTHEAST-ASIA-SEA;;
KY444648;2016;THA;pig;G75_PC_A/0416/Ratchaburi/Thailand/2016;;O;SOUTHEAST-ASIA-SEA;;
KY444647;2016;THA;pig;G12_1_SJSP_0416/Ratchaburi/Thailand/2016;;O;SOUTHEAST-ASIA-SEA;;
KY444646;2016;THA;pig;G12_SJSP_0416/Ratchaburi/Thailand/2016;;O;SOUTHEAST-ASIA-SEA;;
KY444645;2016;THA;pig;G60_CM_A_0116/ChiangMai/Thailand/2016;;O;SOUTHEAST-ASIA-SEA;;
KY444644;2013;THA;pig;G1_JP_0113/Ratchaburi/Thailand/2013;;O;SOUTHEAST-ASIA-SEA;Mya-98;
MT944983;2016;IRN;goat;O/IRN/16/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MT944982;2016;IRN;goat;O/IRN/16/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MT944981;2016;IRN;dog;O/IRN/9/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MN442540;1991;ZAF;african-buffalo;SAT1-KNP/196/91-Recombinant;;SAT1;ASIA;;
MN442539;1991;ZAF;african-buffalo;SAT1-KNP/196/91-Pig;;SAT1;ASIA;;
MN442538;1991;ZAF;african-buffalo;SAT1-KNP/196/91-Parental;;SAT1;ASIA;;
MT602092;2017;KEN;cattle;KEN/19/2017;;SAT2;IV;;
MT602090;2015;ETH;cattle;ETH/16/2015;;SAT2;VII;;
MT602089;2018;EGY;cattle;EGY/1/2018;;SAT2;VII;;
MT602088;2014;TZA;cattle;TAN/22/2014;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MT602087;2013;TZA;cattle;TAN/22/2013;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MT602086;2012;TZA;cattle;TAN/27/2012;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MT602085;2013;KEN;cattle;KEN/10/2013;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MT602084;2018;KEN;cattle;KEN/4/2018;;O;EAST-AFRICA-2-EA-2;;
MT602081;2015;ETH;cattle;ETH/4/2015;;O;EAST-AFRICA-3-EA-3;;
MT602079;2018;SDN;cattle;SUD/9/2018;;A;AFRICA;;
MT602078;2019;ETH;cattle;ETH/19/2019;;A;AFRICA;;
MT602077;2018;ETH;cattle;ETH/2/2018;;A;AFRICA;;
MT863268;2016;EGY;water-buffalo;A/buffalo/Damietta/Egypt/2016;;A;AFRICA;;
KY322680;2013;VNM;cattle;VIT/42/2013;;A;ASIA;Sea-97;
KY322679;2014;THA;cattle;TAI/4/2014;;A;ASIA;Sea-97;
KY322678;2013;MYS;cattle;MAY/23/2013;;A;ASIA;Sea-97;
KY322677;2013;MYS;cattle;MAY/20/2013;;A;ASIA;Sea-97;
KY322676;2013;MYS;cattle;MAY/12/2013;;A;ASIA;Sea-97;
KY322675;2014;LAO;cattle;LAO/3/2014;;A;ASIA;Sea-97;
KY322673;2014;MYS;cattle;MAY/8/2014;;O;SOUTHEAST-ASIA-SEA;Mya-98;
KY322672;2014;MYS;cattle;MAY/3/2014;;O;SOUTHEAST-ASIA-SEA;;
KY322671;2014;MYS;cattle;MAY/2/2014;;O;SOUTHEAST-ASIA-SEA;Mya-98;
KY322670;2013;LAO;cattle;LAO/1/2013;;O;SOUTHEAST-ASIA-SEA;Mya-98;
MH791293;2017;UGA;cattle;AMU_200;;O;EAST-AFRICA-4-EA-4;;
MN983158;2009;IND;cattle;O/IND/47/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MN983157;2009;IND;cattle;O/IND/35/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001c;
MN983156;2008;IND;cattle;O/IND/433/2008;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MN983155;2008;IND;cattle;O/IND/290/2008;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001b;
MN983154;2005;IND;cattle;O/IND/442/2005;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001b;
MN983153;2001;IND;cattle;O/IND/121/2001;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001b;
MN983152;1997;IND;cattle;O/IND/316/1997;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001a;
MN953620;2019;PAK;cattle;PAK/2/2019;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MN953619;2019;PAK;cattle;PAK/1/2019;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MN389541;2010;CHN;pig;;O/Mya98/JX/2010;O;SOUTHEAST-ASIA-SEA;;
MK940253;2017;SAU;cattle;Saudi Arabia/Alkharj1/2017;;A;ASIA;;
MN062587;2009;PAK;cattle;;A/SIN/PAK/L693/2009;A;ASIA;Iran-05;
MN062586;2009;AFG;cattle;;A/BAD/AFG/L2813/2009;A;ASIA;Iran-05;
MN062585;2010;TUR;cattle;;O/TUR/1112/2010;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MN062583;2009;PAK;cattle;;O/ISL/PAK/L1412/2009;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MN062582;2009;PAK;buffalo;;O/PUN/PAK/L1370/2009;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MN062580;2010;IRN;cattle;;O/KHO/IRN/L5/2010;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MN062579;2010;IRN;cattle;;O/KHO/IRN/L1/2010;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
LC483874;2007;THA;cow;;SEA-97;A;ASIA;Sea-97;
MN250318;2019;VNM;pig;O/VIT/19-005/2019;;O;CATHAY;;
MN250317;2018;VNM;pig;O/VIT/18CD-1610.2/2018;;O;CATHAY;;
MN250316;2018;VNM;pig;O/VIT/18-5490/2018;;O;CATHAY;;
MN250315;2018;VNM;pig;O/VIT/18-3766/2018;;O;CATHAY;;
MN250314;2017;VNM;pig;O/VIT/17-19073/2017;;O;CATHAY;;
MN275121;2016;CMR;cow;SAT1/CAR/2186/2016;;SAT1;X;;
MN275120;2016;CMR;cow;SAT1/CAR/2101/2016;;SAT1;X;;
MN275119;2016;CMR;cow;SAT1/CAR/171/2016;;SAT1;X;;
MN275118;2016;CMR;cow;SAT1/CAR/154/2016;;SAT1;X;;
MN116688;2016;KEN;cow;;KEN/K74/2016;A;AFRICA;;
MN103523;2014;NER;cow;SAT2/NIG/1/14;;SAT2;VII;;
MN116694;2016;KEN;cow;O/KEN/K19/2016;;O;EAST-AFRICA-2-EA-2;;
MN116693;2014;KEN;cow;O/KEN/K60/2014;;O;EAST-AFRICA-2-EA-2;;
MN116692;2014;KEN;cow;SAT2/KEN/K137/2014;;SAT2;IV;;
MN116691;2016;KEN;cow;SAT1/KEN/K75/2016;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MN116690;2014;KEN;cow;SAT1/KEN/K29/2014;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MN116689;2014;KEN;cow;SAT1/KEN/K14/2014;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MN095371;2014;IND;cattle;O/IND/C12230/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095370;2014;IND;cattle;O/IND/C6684/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095369;2014;IND;cattle;O/IND/C6673/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095368;2014;IND;cattle;O/IND/C5660/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095367;2014;IND;cattle;O/IND/C5630/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095366;2014;IND;cattle;O/IND/C421/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095365;2014;IND;cattle;O/IND/32(73)/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095364;2014;IND;cattle;O/IND/32(69)/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095363;2013;IND;cattle;O/IND/MUK567/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095362;2013;IND;cattle;O/IND/MUK564/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095361;2013;IND;cattle;O/IND/MUK561/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095360;2013;IND;cattle;O/IND/MUK456/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095359;2013;IND;cattle;O/IND/MUK359/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095358;2013;IND;cattle;O/IND/MUK307/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095357;2013;IND;cattle;O/IND/349(740)/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095356;2013;IND;cattle;O/IND/349(735)/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095355;2013;IND;cattle;O/IND/424(891)/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MN095354;2013;IND;cattle;O/IND/394(826)/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
NC_039210;1965;GBR;;o6pirbright iso58;O6;O;EUROPE-SOUTH-AMERICA-EURO-SA;;
LC456873;2018;GHA;cow;;O/GHA/Asu/12/2018;O;EAST-AFRICA-3-EA-3;;
LC456871;2018;GHA;cow;;O/GHA/Asu/10/2018;O;EAST-AFRICA-3-EA-3;;
LC456870;2018;GHA;cow;;O/GHA/Asu/9/2018;O;EAST-AFRICA-3-EA-3;;
MK071699;2013;BGD;cattle;BAN/BO/Na-161/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
LC438823;2016;MMR;cow;;O/MYA/Yan/5/2016;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
LC438822;2016;MMR;cow;;O/MYA/Yan/3/2016;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MH845413;2014;VNM;pig;;O/VN1/2014;O;SOUTHEAST-ASIA-SEA;;
MF947143;2013;VNM;cattle;O/VIT/106131/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947137;2012;VNM;buffalo;O/VIT/49/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947132;2015;VNM;buffalo;O/VIT/16456/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947131;2013;VNM;pig;O/VIT/11965/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947129;2014;VNM;pig;O/VIT/10894/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947128;2010;VNM;cattle;O/VIT/7223/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947127;2012;VNM;buffalo;O/VIT/2012/Buff(V-BU1)/Phar(A);;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947126;2011;VNM;pig;O/VIT/1677/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947124;2012;VNM;cattle;O/VIT/30/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF947123;2011;VNM;buffalo;O/VIT/20/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MH891503;2017;VNM;cow;;O/VIT/8338/2017;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MH784405;2017;PAK;cattle;PAK/14/2017;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MH784404;2017;PAK;water-buffalo;PAK/4/2017;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MH784403;2016;PAK;cattle;PAK/10/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MG983741;2016;VNM;cattle;VIT/20/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983740;2015;VNM;cattle;VIT/8/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983739;2016;ARE;cattle;UAE/3/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983738;2016;ARE;cattle;UAE/1/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983737;2014;ARE;gazelle;UAE/2/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983736;2014;ARE;gazelle;UAE/1/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983735;2014;TUN;;TUN/1/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983734;2014;LKA;water-buffalo;SRL/30/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983733;2014;LKA;cattle;SRL/28/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983732;2014;LKA;cattle;SRL/1/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983731;2013;LKA;cattle;SRL/1/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983730;2017;KOR;cattle;SKR/1/2017;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983729;2016;SAU;cattle;SAU/2/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983728;2016;SAU;cattle;SAU/1/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983727;2015;SAU;cattle;SAU/20/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983726;2014;SAU;cattle;SAU/4/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983725;2014;SAU;cattle;SAU/1/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983724;2013;SAU;cattle;SAU/7/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983723;2013;SAU;cattle;SAU/6/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983722;2013;SAU;cattle;SAU/4/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983721;2013;SAU;cattle;SAU/1/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983720;2016;RUS;cattle;Zabaikalskiy/1/RUS/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983719;2015;NPL;cattle;NEP/21/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983718;2015;NPL;cattle;NEP/10/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983717;2015;NPL;cattle;NEP/3/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983716;2014;NPL;cattle;NEP/6/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983715;2014;NPL;cattle;NEP/1/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983714;2013;NPL;pig;NEP/18/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983713;2013;NPL;cattle;NEP/17/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983712;2013;NPL;cattle;NEP/16/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983711;2013;NPL;cattle;NEP/6/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983710;2012;NPL;water-buffalo;NEP/21/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983709;2012;NPL;cattle;NEP/13/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983708;2012;NPL;cattle;NEP/10/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983707;2012;NPL;water-buffalo;NEP/6/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983706;2010;NPL;cattle;NEP/9/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983705;2010;NPL;cattle;NEP/7/2010;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983704;2008;NPL;cattle;NEP/5/2008;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983703;2016;MMR;cattle;MYA/3/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983702;2016;MUS;cattle;MUR/23/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983701;2016;MUS;cattle;MUR/21/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983700;2016;MUS;cattle;MUR/19/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983699;2016;MUS;cattle;MUR/9/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983698;2016;MUS;cattle;MUR/5/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983697;2013;LBY;cattle;LIB/22/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983696;2013;LBY;cattle;LIB/17/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983695;2013;LBY;cattle;LIB/7/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983694;2013;LBY;cattle;LIB/1/2013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983693;2015;LAO;;LAO/2/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983692;2009;IRN;cattle;IRN/72/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983691;2016;BTN;cattle;BHU/9/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983690;2016;BTN;cattle;BHU/3/2016;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983689;2012;BTN;cattle;BHU/12/2012;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MG983688;2009;BTN;cattle;BHU/40/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983687;2009;BTN;cattle;BHU/2/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983686;2015;BHR;cattle;BAR/15/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983685;2015;BHR;cattle;BAR/2/2015;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983684;2009;BGD;cattle;BAN/1/2009;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG983683;2014;DZA;;ALG/1/2014;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;Ind-2001d;
MG923580;2017;DZA;cattle;A/ALG/3/2017;;A;AFRICA;;
MG923579;2017;DZA;cattle;A/ALG/2/2017;;A;AFRICA;;
MF372126;1994;IND;gayal;IND281/1994;;Asia1;ASIA;;
MF372125;2016;IND;gayal;IND4/2016;;Asia1;ASIA;;
MF461724;2017;CHN;cattle;O/XJ/CHA/2017;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
KY234502;2015;CHN;pig;;O/GD/CHA/2015;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
KY234501;2011;CHN;cow;;O/CHA/7/2011;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MH053352;1990;ZWE;african-buffalo;ZIM/P27/90 (DSA-31);;SAT3;III-NORTHWEST-ZIMBABWE-NWZ;;
MH053351;1984;ZWE;cattle;ZIM/2/84;;SAT3;II-WESTERN-ZIMBABWE-WZ;;
MH053350;1983;ZWE;african-buffalo;ZIM/P6/83 (WN-19);;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MH053348;1977;ZWE;cattle;RHO/11/77;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MH053347;1976;ZWE;cattle;RHO/23/76;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MH053346;1976;ZWE;cattle;RHO/16/76;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MH053344;1974;ZWE;cattle;RHO/7/74;;SAT3;I-SOUTHEAST-ZIMBABWE-SEZ;;
MH053343;1934;ZWE;cattle;RV/7/34;;SAT3;III-NORTHWEST-ZIMBABWE-NWZ;;
MH053338;1966;BWA;cattle;BOT/109/66;;SAT3;II-WESTERN-ZIMBABWE-WZ;;
MH053335;1965;ZWE;cattle;SRHO/1/65;;SAT2;I;;
MH053334;1964;ZMB;cattle;NR/1/64;;SAT2;III;;
MH053333;1989;ETH;cattle;ETH/1/90;;SAT2;IV;;
MH053332;1974;BWA;african-buffalo;BOT-BUFF/170/74;;SAT2;II;;
MH053331;1972;BWA;african-buffalo;BOT-BUFF/107/72;;SAT2;II;;
MH053328;1968;BWA;african-buffalo;BOT-BUFF/2/68;;SAT2;III;;
MH053326;1970;UGA;african-buffalo;UGA-BUFF/10/70;;SAT1;IV-EAST-AFRICA1-EA-1;;
MH053325;1978;UGA;cattle;UGA/6/78;;SAT1;VII-EAST-AFRICA-2-EA-2;;
MH053324;1971;UGA;cattle;UGA/47/71;;SAT1;VII-EAST-AFRICA-2-EA-2;;
MH053323;1972;TCD;cattle;TCH/1/72;;SAT1;VI;;
MH053322;1989;NAM;african-buffalo;SWA/2/89;;SAT1;III-WESTERN-ZIMBABWE-WZ;;
MH053321;1981;MOZ;cattle;MOZ/5/81;;SAT1;ASIA;;
MH053320;1983;KEN;cattle;K303/83;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
MH053318;2002;UGA;;UGA/3/2002;;O;EAST-AFRICA-2-EA-2;;
MH053317;1998;UGA;;UGA/17/98;;O;EAST-AFRICA-4-EA-4;;
MH053316;1996;UGA;cattle;UGA/5/96;;O;EAST-AFRICA-1-EA-1;;
MH053315;1976;SDN;;SUD/1/76;;O;WEST-AFRICA-WA;;
MH053314;2007;ETH;cattle;ETH/1/2007;;O;EAST-AFRICA-3-EA-3;;
MH053313;2006;ETH;cattle;ETH/2/2006;;O;EAST-AFRICA-3-EA-3;;
MH053312;2005;ETH;cattle;ETH/58/2005;;O;EAST-AFRICA-4-EA-4;;
MH053311;2004;ETH;cattle;ETH/3/2004;;O;EAST-AFRICA-3-EA-3;;
MH053310;1970;UGA;cattle;UGA/18/70;;C;AFRICA;;
MH053309;1967;KEN;cattle;KEN/32/70 (K267/67);;C;AFRICA;;
MH053308;1971;ETH;;ETH/1/71;;C;AFRICA;;
MH053307;1990;ZMB;cattle;Zambia/90;;A;AFRICA;;
MH053306;1973;TCD;cattle;TCH/2/73;;A;AFRICA;;
MH053305;1972;EGY;cattle;EGY/1/72;;A;AFRICA;;
MG725876;2015;NER;cow;A/NIG/6/15;;A;AFRICA;;
MG725875;2015;NER;cow;A/NIG/5/15;;A;AFRICA;;
MG725874;2015;NER;cow;A/NIG/3/15;;A;AFRICA;;
MG725873;2015;NER;cow;A/NIG/1/15;;A;AFRICA;;
MG725872;2013;NER;cow;A/NIG/1/13;;A;AFRICA;;
LC320038;2015;MNG;cow;;O/MOG/BU/2-7/2015;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF782478;2013;BGD;cattle;BAN/TA/Ma-167/2013;;Asia1;ASIA;;
MF678826;2015;NER;cow;SAT1/NIG/4/15;;SAT1;X;;
MF678825;2015;NER;cow;SAT1/NIG/3/15;;SAT1;X;;
MF678824;2015;NER;cow;SAT1/NIG/2/15;;SAT1;X;;
MF678823;2015;NER;cow;SAT1/NIG/1/15;;SAT1;X;;
MF143578;2013;VNM;cattle;O/VIT/433/2013_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF143577;2013;VNM;cattle;O/VIT/431/2013_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF143576;2013;VNM;cattle;O/VIT/428/2013_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF143575;2012;VNM;cattle;O/VIT/414/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF143574;2012;VNM;cattle;O/VIT/407/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
MF143573;2012;VNM;cattle;O/VIT/383/2012_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
